column1;accent;age_range;gender;location;province;userid
173;neofalante;range-20_29;masculino;36057;36;fedf34b2-3e15-483d-b3da-00616112d5bf
174;not-shared;less-19;not-shared;not-shared;other-location;870dd413-a904-4414-a463-951cbf5526a0
175;neofalante;not-shared;femenino;not-shared;other-location;99e9b155-07aa-4dbe-9298-745918dc7cd6
176;normativo;range-20_29;not-shared;not-shared;other-location;de4e2d91-f493-4b6b-81e2-5d122c7d7243
177;not-shared;not-shared;not-shared;not-shared;not-shared;1fffbe6b-2efb-4ac7-867c-521343792f8d
178;not-shared;not-shared;not-shared;not-shared;not-shared;a57c14e9-c747-402c-bcdd-5e0184daead7
179;not-shared;not-shared;not-shared;not-shared;not-shared;80f62c0f-e298-4e48-8d4f-b3fcfd272c77
180;central;range-30_39;masculino;15030;15;abc52b1e-f6d6-4439-90ac-68cd089a2eda
181;not-shared;not-shared;not-shared;not-shared;not-shared;a595752a-e9aa-460b-9b19-1d4e66b879e6
182;not-shared;not-shared;not-shared;not-shared;not-shared;51f38675-bfec-43cd-a0e4-b8f973ca0a7f
183;neofalante;less-19;not-shared;not-shared;other-location;b8e9e5f4-3274-4fa6-9914-b2d8e974c322
184;not-shared;range-20_29;not-shared;other-location;other-location;7f158e46-67b9-489f-b9f1-388751a8f888
185;not-shared;not-shared;not-shared;not-shared;not-shared;9a60f9dd-0592-43b5-aa26-81078bcc07ee
186;not-shared;not-shared;not-shared;not-shared;not-shared;b365bbe4-a4c2-4d91-bd10-f4dfa6d1c555
187;not-shared;not-shared;not-shared;not-shared;not-shared;ba998c07-1fc3-4cda-b760-52e9127e7a1e
188;not-shared;not-shared;not-shared;not-shared;not-shared;c20083a1-d55e-48ec-a189-3fb1aa2381ef
